SYMBOL,Z,N,A,EPorc,MAE,MSE,BEA
Na,11,16,27,0.403934861528253,0.032140881634522,0.001033036272244,7.9569467
Na,11,17,28,0.072712694831392,0.005671055322265,3.21608684681949E-05,7.7992644
Na,11,18,29,0.679980085720589,0.052237105114746,0.002728715150769,7.6821522
Na,11,19,30,0.643063920606822,0.048242452758789,0.002327334248184,7.5019685
Na,11,20,31,1.30273314596785,0.096385028063965,0.009290073634891,7.3986778
Na,11,21,32,0.958881585899925,0.069230114227295,0.004792808715924,7.2198815
Na,11,22,33,1.78622159937381,0.126641793164063,0.016038143775809,7.0899262
Na,11,23,34,2.0441719562361,0.14077062824707,0.019816369777075,6.8864377
Mg,12,7,19,2.80154008293817,0.165332865582275,0.027334956441647,5.9014992
Mg,12,8,20,1.54922236041845,0.104232070812988,0.010864324585964,6.7280252
Mg,12,9,21,2.95431388263079,0.209904937878418,0.044060082945743,7.1050317
Mg,12,10,22,0.93473100505987,0.071626235626221,0.005130317629983,7.6627645
Mg,12,11,23,1.26430979191079,0.099894670495606,0.009978945193426,7.9011229
Mg,12,12,24,0.720833088836592,0.059545933215333,0.003545718162485,8.2607103
Mg,12,13,25,1.42022251091907,0.11679203795166,0.013640380128902,8.2235028
Mg,12,14,26,0.755350320137442,0.062949922033692,0.003962692684048,8.3338711
Mg,12,15,27,1.30578163571007,0.107907868347167,0.01164410805123,8.2638525
Mg,12,16,28,0.679804098198062,0.056236475195313,0.003162541142393,8.2724531
Mg,12,17,29,0.799860680920793,0.064896949902344,0.004211614106627,8.1135317
Mg,12,18,30,0.674442710681452,0.054322482299805,0.002950932083213,8.054425
Mg,12,19,31,0.715119761881423,0.05627412277832,0.003166776894469,7.8691886
Mg,12,20,32,0.87240875497782,0.068081392980957,0.004635076070228,7.8038411
Mg,12,21,33,0.472266215684108,0.036064317700196,0.001300635011181,7.6364382
Mg,12,22,34,0.694349550750454,0.052426112237549,0.002748497244344,7.5503919
Mg,12,23,35,0.820803923245953,0.060380255633545,0.003645775270372,7.3562338
Mg,12,24,36,1.38789272713779,0.100544781079101,0.010109253002244,7.2444202
Mg,12,25,37,1.43709762075421,0.101388839508057,0.010279696776791,7.0551115
Al,13,10,23,1.42773963814654,0.104735089263916,0.010969438923121,7.3357275
Al,13,11,24,0.932549792950411,0.071336148046875,0.005088846018166,7.6495806
Al,13,12,25,1.34930155684554,0.108229321020508,0.01171358592856,8.0211366
Al,13,13,26,1.56746095904203,0.127744389331054,0.016318629005564,8.1497653
Al,13,14,27,0.911478191090661,0.075940291308594,0.005766927844034,8.3315533
Al,13,15,28,1.34966155143094,0.112155483422852,0.012578852461814,8.3098969
Al,13,16,29,1.37327259036511,0.114647177441407,0.013143975295282,8.3484647
Al,13,17,30,1.2895007813234,0.106527012231446,0.011348004334959,8.2611049
Al,13,18,31,1.20923201191413,0.099465596801759,0.00989340494713,8.225518
Al,13,19,32,1.03950484862346,0.084203477990723,0.007090225705734,8.1003449
Al,13,20,33,1.38547155782923,0.111123370068359,0.01234840337535,8.0206172
Al,13,21,34,0.924938008959979,0.072703370336914,0.005285780058346,7.8603506
Al,13,22,35,0.988634145959567,0.076986169818115,0.005926870343264,7.7871243
Al,13,23,36,0.761395672623974,0.058045116357422,0.003369235532947,7.6235154
Al,13,24,37,1.07948710858963,0.081299585327148,0.006609622574366,7.531316
Si,14,10,24,1.57528245067568,0.112904162072754,0.012747349813351,7.1672329
Si,14,11,25,1.12444864024617,0.084110005303955,0.007074492992231,7.4801109
Si,14,12,26,0.656947175287958,0.05206114732666,0.002710363060968,7.9247083
Si,14,13,27,1.4748927098448,0.119825327880859,0.014358109201755,8.124342
Si,14,14,28,0.014169365092121,0.001196991760255,1.43278927411732E-06,8.4477445
Si,14,15,29,0.243536094176677,0.020575478369141,0.000423350310119,8.4486361
Si,14,16,30,0.053766169555135,0.004581229760742,2.09876661207076E-05,8.5206549
Si,14,17,31,0.819225432328835,0.069292475927734,0.004801447220196,8.4582916
Si,14,18,32,0.541961572156597,0.045966302734375,0.002112900987068,8.481469
Si,14,19,33,0.804584327111716,0.06727177512207,0.004525491728074,8.3610596
Si,14,20,34,0.678321868135326,0.056552819482421,0.003198221391411,8.3371659
Si,14,21,35,1.34532261475167,0.109906997399902,0.012079548077462,8.1695644
Si,14,22,36,1.53066360566728,0.124175389611816,0.015419527385246,8.1125199
Si,14,23,37,1.28096421574423,0.101873845385742,0.010378280373678,7.9529033
Si,14,24,38,1.18626093273628,0.093629555218506,0.008766493610415,7.8928297
Si,14,25,39,0.951513790177565,0.073561334155273,0.005411269882704,7.7309793
Si,14,26,40,1.05021129235706,0.080402335522461,0.006464535557466,7.6558247
P,15,12,27,0.321365215643449,0.024620076470948,0.000606148165435,7.6610894
P,15,13,28,0.700852193172006,0.05541977644043,0.003071351620707,7.9074842
P,15,14,29,0.4836440684674,0.039906617358399,0.00159253810899,8.2512368
P,15,15,30,0.523258076093644,0.043710396875,0.00191059879497,8.3535064
P,15,16,31,0.393821110947041,0.033400628857422,0.001115602008071,8.4811677
P,15,17,32,0.863270220394461,0.073068229968262,0.005338966230695,8.4641203
P,15,18,33,0.724837971059809,0.061711308093262,0.003808285546581,8.5138073
P,15,19,34,1.23610698178947,0.104428612036132,0.010905335011793,8.4481856
P,15,20,35,0.852753166627863,0.072025660925293,0.005187695831725,8.4462496
P,15,21,36,1.23044916854392,0.102224107495116,0.010449768153173,8.3078692
P,15,22,37,1.19563007332417,0.098849387060547,0.009771201322246,8.2675561
P,15,23,38,1.47654839323537,0.120298456628419,0.01447171866718,8.1472749
P,15,24,39,1.55490122387397,0.125915436193848,0.015854697071887,8.0979701
P,15,25,40,0.984917456104011,0.078610376171875,0.006179591241884,7.9814177
P,15,26,41,1.06232181346666,0.083993019152832,0.007054827266408,7.9065513
P,15,27,42,0.621348670328821,0.048253392193604,0.00232838985819,7.7659122
S,16,12,28,0.687912360427497,0.051447528387452,0.002646848177178,7.4787911
S,16,13,29,0.713492146489609,0.055269831488038,0.003054754272716,7.7463826
S,16,14,30,0.498166638079638,0.040464621862793,0.001637385622499,8.1227081
S,16,15,31,0.568820384067928,0.047108573962403,0.002219217740771,8.2818013
S,16,16,32,0.517563489233758,0.043957340490723,0.001932247783017,8.4931301
S,16,17,33,0.733150283773242,0.062300401391601,0.003881340013555,8.4976304
S,16,18,34,0.437304459889845,0.037536022192382,0.001408952962027,8.5834986
S,16,19,35,1.00246171801193,0.08558868881836,0.007325423653646,8.5378511
S,16,20,36,0.857565614476602,0.073539595947265,0.005408072172087,8.57539
S,16,21,37,1.52972129003029,0.129413446704101,0.016747840187835,8.4599363
S,16,22,38,1.14950701594269,0.097119352197266,0.009432168571217,8.4487829
S,16,23,39,1.23485573319496,0.103039694018555,0.010617178543438,8.3442698
S,16,24,40,0.894856922537159,0.074535545837403,0.00555554759328,8.3293255
S,16,25,41,0.919025938653214,0.075632487658691,0.005720273189442,8.2296358
S,16,26,42,0.837183386858698,0.068592339477538,0.004704909035002,8.1932275
S,16,27,43,1.16443132002823,0.093897734167481,0.008816784481787,8.0638276
S,16,28,44,1.35688601425961,0.108496814660644,0.011771558791506,7.9960154
Cl,17,13,30,0.477018786086965,0.035643653674317,0.001270470047255,7.4721698
Cl,17,14,31,0.402439455136671,0.03166880625,0.0010029132893,7.8692101
Cl,17,15,32,0.631836730935287,0.051004424914551,0.002601451360864,8.0724058
Cl,17,16,33,0.745110690863566,0.061879622570801,0.003829087689505,8.3047557
Cl,17,17,34,1.05697101778377,0.08877468503418,0.007880944702918,8.3989706
Cl,17,18,35,0.997865793432301,0.085020949645996,0.007228561878707,8.520279
Cl,17,19,36,1.23119663954958,0.104921742871094,0.011008572127108,8.5219322
Cl,17,20,37,0.965754369076287,0.082767868994141,0.006850520137831,8.5702816
Cl,17,21,38,1.82793506864478,0.155474682751464,0.024172376976669,8.5054817
Cl,17,22,39,1.89791345526022,0.161216421276855,0.025990734489316,8.4944032
Cl,17,23,40,1.70256004438534,0.143487776550293,0.020588742019347,8.427766
Cl,17,24,41,1.36761377643971,0.115056790393066,0.013238065015554,8.4129593
Cl,17,25,42,1.00348360345421,0.083749601586915,0.007013995765967,8.3458864
Cl,17,26,43,0.751215273537409,0.062530161755371,0.003910021129153,8.3238672
Cl,17,27,44,0.650162816314526,0.053537519274903,0.002866265970111,8.2344788
Cl,17,28,45,0.886528614420526,0.072532217138672,0.005260922523052,8.1815991
Cl,17,29,46,0.812097754251979,0.06562379798584,0.004306482862086,8.0807757
Ar,18,14,32,0.458412974134726,0.035297839807129,0.00124593749505,7.7000089
Ar,18,15,33,0.847873241239015,0.067227495385742,0.00451953613584,7.9289559
Ar,18,16,34,0.505956954658613,0.04147669362793,0.001720316114305,8.1976724
Ar,18,17,35,0.923033832578176,0.076865292578125,0.005908273203121,8.3274621
Ar,18,18,36,1.01299052503733,0.086305876989746,0.007448704402969,8.5199096
Ar,18,19,37,1.14294777942026,0.097460764135743,0.009498600545923,8.5271406
Ar,18,20,38,0.579747344555881,0.04994106361084,0.002494109834582,8.6142807
Ar,18,21,39,1.27913287663571,0.109527016345215,0.011996167309485,8.5625988
Ar,18,22,40,1.15815816958344,0.099546698937989,0.009909545269451,8.5952594
Ar,18,23,41,1.76642149724649,0.150753004626464,0.022726468403907,8.5343733
Ar,18,24,42,1.25006960427589,0.106951131323243,0.011438544491322,8.5556141
Ar,18,25,43,1.26068590241818,0.107010022351075,0.011451144883578,8.4882382
Ar,18,26,44,0.794347586768001,0.067470621801759,0.004552284806316,8.4938411
Ar,18,27,45,0.562521308046807,0.047364027502441,0.002243351101252,8.4199526
Ar,18,28,46,0.252403354930182,0.021233138183593,0.000450846157124,8.4123835
Ar,18,29,47,0.176224163687665,0.014646739196778,0.000214526969098,8.311425
Ar,18,30,48,0.477447652690232,0.039359187902832,0.00154914567237,8.2436656
K,19,16,35,0.859657862668483,0.068478977624512,0.004689370376498,7.9658409
K,19,17,36,0.700572533321512,0.057042180041505,0.003253810303887,8.1422233
K,19,18,37,1.22479106788165,0.102145713378906,0.010433746761686,8.339848
K,19,19,38,1.47294665385172,0.124288112109374,0.015447534811712,8.4380593
K,19,20,39,0.930703024321812,0.079640497912598,0.006342608907766,8.5570258
K,19,21,40,1.40989952395654,0.120378500134278,0.014490983294578,8.5380907
K,19,22,41,1.32187266700114,0.113364766210937,0.012851570218061,8.5760731
K,19,23,42,1.68764425775553,0.144314799414062,0.020826761329921,8.5512571
K,19,24,43,1.51485445926188,0.129917257165527,0.016878493709414,8.5762204
K,19,25,44,1.44396352190245,0.123411263537598,0.015230339967947,8.5467023
K,19,26,45,0.953949390537156,0.081607267163086,0.006659746053827,8.5546747
K,19,27,46,0.599046794713484,0.051027062365723,0.002603761093675,8.5180428
K,19,28,47,0.318594600065253,0.027127946289063,0.000735925469862,8.5148795
K,19,29,48,0.187318534376374,0.015798880517577,0.000249604625609,8.4342324
K,19,30,49,0.416530273509456,0.034873061206055,0.001216130397881,8.3722753
K,19,31,50,0.247807598743739,0.020539739245605,0.000421880888277,8.2885833
K,19,32,51,0.546225488715823,0.044907027282715,0.002016641099371,8.221335
K,19,33,52,0.655429625085905,0.053188312670898,0.002828996604777,8.1150303
K,19,34,53,1.27744956422077,0.102487847033691,0.010503758789601,8.0228488
Ca,20,16,36,0.868788176416348,0.067903440454102,0.004610877225504,7.8158799
Ca,20,17,37,0.563037150203926,0.045062434521485,0.002030623005003,8.0034567
Ca,20,18,38,0.618823178605209,0.050991298486329,0.002600112521322,8.2400434
Ca,20,19,39,1.02609768184623,0.085881001135254,0.007375546355994,8.3696711
Ca,20,20,40,0.847806763109693,0.07249853873291,0.005256038118407,8.5513046
Ca,20,21,41,1.2379180597527,0.105801235656738,0.011193901466493,8.5467075
Ca,20,22,42,0.95499706533274,0.0822879390625,0.006771304915154,8.6165646
Ca,20,23,43,1.21292203891474,0.104319364916993,0.010882529896685,8.6006653
Ca,20,24,44,0.824358477910244,0.071374415307616,0.005094307160504,8.6581769
Ca,20,25,45,1.12538445077429,0.097126830578613,0.009433621218247,8.6305467
Ca,20,26,46,0.688426610153462,0.059679598193359,0.003561654440521,8.6689848
Ca,20,27,47,0.516887044345834,0.04465570567627,0.001994132049446,8.6393548
Ca,20,28,48,0.189430108100323,0.016417323266602,0.00026952850324,8.6666916
Ca,20,29,49,0.13604031056183,0.011692460632324,0.000136713635638,8.59485
Ca,20,30,50,0.008685091699759,0.000742589575195,5.51439277187823E-07,8.5501639
Ca,20,31,51,0.063597122455972,0.005391073059082,2.90636687283578E-05,8.4769135
Ca,20,32,52,0.227622826476541,0.019187197790528,0.000368148559053,8.4293821
Ca,20,33,53,0.314634061204085,0.026210835253906,0.000687007884707,8.3305778
Ca,20,34,54,0.807052203282586,0.066561603833009,0.004430447104822,8.2474967
Ca,20,35,55,1.11074868376684,0.090258616088868,0.008146617778278,8.125926
Ca,20,36,56,1.74637117104509,0.140288884667969,0.019680971161383,8.0331654
Sc,21,18,39,1.20960591353159,0.09693125579834,0.009395668350643,8.0134575
Sc,21,19,40,1.23888303993748,0.101262207653809,0.010254034698923,8.1736697
Sc,21,20,41,1.12792701429776,0.094398443994141,0.008911066228515,8.3691979
Sc,21,21,42,1.57607433295268,0.133098378894044,0.017715178464222,8.4449303
Sc,21,22,43,1.65641619912713,0.14130599206543,0.019967383393595,8.5308265
Sc,21,23,44,1.55099961059837,0.132724938232421,0.0176159092288,8.5573805
Sc,21,24,45,1.2196395388722,0.105120012268067,0.011050216979239,8.618941
Sc,21,25,46,1.25457505265935,0.108169730773925,0.011700690655704,8.6220215
Sc,21,26,47,0.958170771418321,0.083026415270997,0.006893385632752,8.6650958
Sc,21,27,48,0.950745503396306,0.082298524487305,0.006773047132788,8.6562097
Sc,21,28,49,0.444650162561168,0.038623560363769,0.001491779415174,8.6862805
Sc,21,29,50,0.204218826717636,0.017631180737304,0.000310858534191,8.6334747
Sc,21,30,51,0.23535723667961,0.020234182482911,0.000409422140752,8.5972213
Sc,21,31,52,0.184589715294165,0.015754122131348,0.000248192364129,8.5346695
Sc,21,32,53,0.281915735716976,0.023942631225586,0.000573249590004,8.4928325
Sc,21,33,54,0.534607165768568,0.044932724548341,0.002018949735337,8.4048115
Sc,21,34,55,0.992688819170128,0.082724426293945,0.006843330705662,8.3333694
Sc,21,35,56,1.17965168387963,0.097127542700195,0.009433759550978,8.2335781
Sc,21,36,57,1.59283386515862,0.12994604038086,0.016885973410664,8.1581666
Sc,21,37,58,1.68139653716794,0.135435542761231,0.018342786243029,8.0549436
Sc,21,38,59,2.14853596328945,0.171375979418945,0.029369726321803,7.9764073
Ti,22,18,40,1.5015009615012,0.118106011578369,0.01394902997095,7.8658632
Ti,22,19,41,1.41828299530547,0.11395037154541,0.012984687175337,8.0343889
Ti,22,20,42,1.17896028181391,0.097373159179687,0.009481532128633,8.25924
Ti,22,21,43,1.61955693851678,0.135278439416505,0.018300256170965,8.3528054
Ti,22,22,44,1.41640042839298,0.120868835083007,0.014609275294323,8.5335215
Ti,22,23,45,1.54571925155478,0.132247598181152,0.017489427224684,8.5557321
Ti,22,24,46,0.910154941102731,0.078787219348145,0.006207425932613,8.6564623
Ti,22,25,47,0.925311994069409,0.080143423156738,0.00642296827528,8.6612325
Ti,22,26,48,0.492117992502803,0.042927512524415,0.001842771331534,8.7230122
Ti,22,27,49,0.665108048246149,0.057938642883301,0.003356886339159,8.7111625
Ti,22,28,50,0.170703024428502,0.014946283459473,0.000223391389251,8.7557227
Ti,22,29,51,0.573966477479603,0.049986690014649,0.002498669178621,8.7089912
Ti,22,30,52,0.386424815901488,0.033587346728515,0.001128109860261,8.6918193
Ti,22,31,53,0.316614413198873,0.027327387670898,0.000746786116916,8.6311256
Ti,22,32,54,0.292929083249377,0.025190998059083,0.000634586383213,8.5996917
Ti,22,33,55,0.457325719315452,0.038959439001465,0.001517837887309,8.5189696
Ti,22,34,56,0.666138782657271,0.056408295715333,0.003181895825508,8.4679495
Ti,22,35,57,1.00924803334246,0.084503336657715,0.007140813906287,8.3729008
Ti,22,36,58,1.39877270694079,0.116204847045898,0.013503566476961,8.307629
Ti,22,38,60,2.09159358390292,0.170523144702148,0.02907814287911,8.1527858
V,23,20,43,1.15086532490075,0.092869225854493,0.008624693110813,8.0695129
V,23,21,44,1.5212506538138,0.124795138684082,0.015573826639179,8.2034567
V,23,22,45,1.38499268951943,0.116062933068848,0.013470604432544,8.3800394
V,23,23,46,1.267523300681,0.107563830981446,0.011569977735405,8.4861423
V,23,24,47,1.35898275007495,0.11663109050293,0.013602811271903,8.5822348
V,23,25,48,1.14452416035761,0.098693103491211,0.009740328676727,8.6230686
V,23,26,49,0.872706843976898,0.075776380371094,0.005742059822145,8.6829135
V,23,27,50,0.792488557761359,0.068914037854004,0.004749144613343,8.6959032
V,23,28,51,0.520755094174938,0.045524854016113,0.002072512333188,8.7420852
V,23,29,52,0.75647783146561,0.065923782592774,0.004345945111339,8.714569
V,23,30,53,0.819649605280345,0.071392648620606,0.005096910277065,8.7101425
V,23,31,54,0.816795200627902,0.070751929089356,0.005005835469865,8.6621382
V,23,32,55,0.71841876685459,0.062052265051269,0.003850483597993,8.6373391
V,23,33,56,0.67415443308598,0.05780672421875,0.003341617364903,8.5747006
V,23,34,57,0.747643154550618,0.06381281385498,0.00407207521209,8.5351967
V,23,35,58,0.874556822682072,0.073971380371093,0.005471765114005,8.458156
V,23,36,59,1.1283380211438,0.094823308984376,0.008991459926746,8.4038034
V,23,37,60,1.30808678331368,0.108870429174806,0.011852770348706,8.3228751
V,23,38,61,1.53793394353321,0.127203157788086,0.016180643351261,8.2710417
V,23,39,62,1.75393749988573,0.143608131652831,0.020623295476817,8.1877565
V,23,40,63,2.05494481183368,0.167083060266114,0.02791674902789,8.1307809
Cr,24,20,44,1.08878066429687,0.08655399621582,0.007491594260928,7.9496265
Cr,24,21,45,1.65510608800524,0.133860488439941,0.01791863036538,8.0877286
Cr,24,22,46,1.02972579243492,0.085506610278321,0.007311380401289,8.3038233
Cr,24,23,47,1.15260314647763,0.096901728955079,0.009389945074483,8.4072067
Cr,24,24,48,1.1410578791213,0.097814394519043,0.009567655775127,8.5722553
Cr,24,25,49,1.08572007489339,0.093516085095216,0.008745258171536,8.6132777
Cr,24,26,50,0.791473559066288,0.068866263171387,0.004742562203191,8.7010188
Cr,24,27,51,0.734784839150949,0.064014398608398,0.004097843229195,8.7119923
Cr,24,28,52,0.259833881642023,0.022803007421874,0.000519977147482,8.7759946
Cr,24,29,53,0.530536365858555,0.046476101367187,0.002160027998293,8.7602103
Cr,24,30,54,0.388764053104387,0.034125581066894,0.001164555283153,8.7779672
Cr,24,31,55,0.808458594742014,0.070594088696289,0.00498352535886,8.7319362
Cr,24,32,56,0.920880724895544,0.08033082821045,0.006453041960977,8.7232609
Cr,24,33,57,0.887327420496693,0.076872721972656,0.005909415383485,8.6633998
