EL,N,Z,A,BEA
S,19,16,35,8.5378511
S,20,16,36,8.57539
S,21,16,37,8.4599363
S,22,16,38,8.4487829
S,23,16,39,8.3442698
S,24,16,40,8.3293255
S,25,16,41,8.2296358
S,26,16,42,8.1932275
S,27,16,43,8.0638276
S,28,16,44,7.9960154
Cl,13,17,30,7.4721698
Cl,14,17,31,7.8692101
Cl,15,17,32,8.0724058
Cl,16,17,33,8.3047557
Cl,17,17,34,8.3989706
Cl,18,17,35,8.520279
Cl,19,17,36,8.5219322
Cl,20,17,37,8.5702816
Cl,21,17,38,8.5054817
Cl,22,17,39,8.4944032
Cl,23,17,40,8.427766
Cl,24,17,41,8.4129593
Cl,25,17,42,8.3458864
Cl,26,17,43,8.3238672
Cl,27,17,44,8.2344788
Cl,28,17,45,8.1815991
Cl,29,17,46,8.0807757
Ar,14,18,32,7.7000089
Ar,15,18,33,7.9289559
Ar,16,18,34,8.1976724
Ar,17,18,35,8.3274621
Ar,18,18,36,8.5199096
Ar,19,18,37,8.5271406
Ar,20,18,38,8.6142807
Ar,21,18,39,8.5625988
Ar,22,18,40,8.5952594
Ar,23,18,41,8.5343733
Ar,24,18,42,8.5556141
Ar,25,18,43,8.4882382
Ar,26,18,44,8.4938411
Ar,27,18,45,8.4199526
Ar,28,18,46,8.4123835
Ar,29,18,47,8.311425
Ar,30,18,48,8.2436656
K,16,19,35,7.9658409
K,17,19,36,8.1422233
K,18,19,37,8.339848
K,19,19,38,8.4380593
K,20,19,39,8.5570258
K,21,19,40,8.5380907
K,22,19,41,8.5760731
K,23,19,42,8.5512571
K,24,19,43,8.5762204
K,25,19,44,8.5467023
K,26,19,45,8.5546747
K,27,19,46,8.5180428
K,28,19,47,8.5148795
K,29,19,48,8.4342324
K,30,19,49,8.3722753
K,31,19,50,8.2885833
K,32,19,51,8.221335
K,33,19,52,8.1150303
K,34,19,53,8.0228488
Ca,16,20,36,7.8158799
Ca,17,20,37,8.0034567
Ca,18,20,38,8.2400434
Ca,19,20,39,8.3696711
Ca,20,20,40,8.5513046
Ca,21,20,41,8.5467075
Ca,22,20,42,8.6165646
Ca,23,20,43,8.6006653
Ca,24,20,44,8.6581769
Ca,25,20,45,8.6305467
Ca,26,20,46,8.6689848
Ca,27,20,47,8.6393548
Ca,28,20,48,8.6666916
Ca,29,20,49,8.59485
