EL,N,Z,A,BEA
Rh,65,45,110,8.5042551
Rh,66,45,111,8.4956267
Rh,67,45,112,8.4688666
Rh,68,45,113,8.4568165
Rh,69,45,114,8.4266221
Rh,70,45,115,8.4106538
Rh,71,45,116,8.3776123
Rh,72,45,117,8.3592766
Rh,73,45,118,8.3228539
Rh,74,45,119,8.3033953
Rh,76,45,121,8.2452397
Pd,46,46,92,8.2755695
Pd,47,46,93,8.3185637
Pd,48,46,94,8.3916832
Pd,49,46,95,8.4289807
Pd,50,46,96,8.4900207
Pd,51,46,97,8.5024303
Pd,52,46,98,8.5338999
Pd,53,46,99,8.5379332
Pd,54,46,100,8.5635652
Pd,55,46,101,8.5608644
Pd,56,46,102,8.5802887
Pd,57,46,103,8.5710173
Pd,58,46,104,8.5848485
Pd,59,46,105,8.5706509
Pd,60,46,106,8.5799934
Pd,61,46,107,8.5608946
Pd,62,46,108,8.5670241
Pd,63,46,109,8.5448825
Pd,64,46,110,8.547163
Pd,65,46,111,8.5217498
Pd,66,46,112,8.5207205
Pd,67,46,113,8.4925795
Pd,68,46,114,8.4880056
Pd,69,46,115,8.4577342
Pd,70,46,116,8.4492755
Pd,71,46,117,8.4169243
Pd,72,46,118,8.4052197
Pd,73,46,119,8.3689594
Pd,74,46,120,8.3570817
Pd,75,46,121,8.3208584
Pd,76,46,122,8.3059755
Pd,77,46,123,8.2700318
Ag,49,47,96,8.3602903
Ag,50,47,97,8.4232121
Ag,51,47,98,8.4416866
Ag,52,47,99,8.4747744
Ag,53,47,100,8.4849947
Ag,54,47,101,8.5125465
Ag,55,47,102,8.517165
Ag,56,47,103,8.537652
Ag,57,47,104,8.536185
Ag,58,47,105,8.5503708
Ag,59,47,106,8.5446397
Ag,60,47,107,8.5539012
Ag,61,47,108,8.5420262
Ag,62,47,109,8.5479155
Ag,63,47,110,8.5321089
Ag,64,47,111,8.5347878
Ag,65,47,112,8.5160807
Ag,66,47,113,8.516066
Ag,67,47,114,8.4937786
Ag,68,47,115,8.4905553
Ag,69,47,116,8.4659073
Ag,70,47,117,8.4594515
Ag,71,47,118,8.43389
Ag,72,47,119,8.4232126
Ag,73,47,120,8.3953281
Ag,74,47,121,8.3823306
Ag,75,47,122,8.3527591
Ag,76,47,123,8.3379707
Ag,77,47,124,8.3088958
Ag,78,47,125,8.2933151
Cd,49,48,97,8.3103013
Cd,50,48,98,8.3782953
Cd,51,48,99,8.3983734
Cd,52,48,100,8.4377375
Cd,53,48,101,8.4503657
Cd,54,48,102,8.4841322
Cd,55,48,103,8.4897547
Cd,56,48,104,8.5176232
Cd,57,48,105,8.5168532
Cd,58,48,106,8.5390492
Cd,59,48,107,8.5333524
Cd,60,48,108,8.5500196
Cd,61,48,109,8.5387646
Cd,62,48,110,8.5512755
Cd,63,48,111,8.5370801
Cd,64,48,112,8.5447306
Cd,65,48,113,8.5269874
Cd,66,48,114,8.5315135
Cd,67,48,115,8.5107252
Cd,68,48,116,8.5123511
Cd,69,48,117,8.488974
Cd,70,48,118,8.487835
Cd,71,48,119,8.4614381
Cd,72,48,120,8.458024
Cd,73,48,121,8.4309972
Cd,74,48,122,8.4242667
Cd,75,48,123,8.3953955
Cd,76,48,124,8.3870179
Cd,77,48,125,8.3576815
Cd,78,48,126,8.3467393
Cd,79,48,127,8.3168971
Cd,80,48,128,8.3032367
Cd,81,48,129,8.2695311
Cd,82,48,130,8.2525868
Cd,83,48,131,8.2061204
Cd,84,48,132,8.1691421
In,51,49,100,8.3297495
In,52,49,101,8.370426
In,53,49,102,8.3885719
In,54,49,103,8.4237199
In,55,49,104,8.435238
In,56,49,105,8.4647045
In,57,49,106,8.4701213
In,58,49,107,8.4940439
In,59,49,108,8.4952516
In,60,49,109,8.5131027
In,61,49,110,8.5089087
In,62,49,111,8.5222824
In,63,49,112,8.5146674
In,64,49,113,8.5229297
In,65,49,114,8.5119742
In,66,49,115,8.5165472
In,67,49,116,8.5016177
In,68,49,117,8.5038653
In,69,49,118,8.485667
In,70,49,119,8.4861387
In,71,49,120,8.4662575
In,72,49,121,8.4638767
In,73,49,122,8.4421079
In,74,49,123,8.4379362
In,75,49,124,8.4143243
In,76,49,125,8.4079365
In,77,49,126,8.3846067
In,78,49,127,8.3748212
In,79,49,128,8.3514361
In,80,49,129,8.338759
In,81,49,130,8.314176
In,82,49,131,8.2979544
In,83,49,132,8.2537162
Sn,50,50,100,8.251626
Sn,51,50,101,8.281103
Sn,52,50,102,8.3244313
Sn,54,50,104,8.3839114
Sn,55,50,105,8.397229
Sn,56,50,106,8.4320383
Sn,57,50,107,8.4394946
Sn,58,50,108,8.4690273
Sn,59,50,109,8.4705183
Sn,60,50,110,8.4960875
Sn,61,50,111,8.493131
Sn,62,50,112,8.5136189
Sn,63,50,113,8.5068117
Sn,64,50,114,8.5225671
Sn,65,50,115,8.5140702
Sn,66,50,116,8.5231166
Sn,67,50,117,8.509612
Sn,68,50,118,8.5165341
Sn,69,50,119,8.4994494
Sn,70,50,120,8.504488
Sn,71,50,121,8.4851964
Sn,72,50,122,8.4878968
Sn,73,50,123,8.4672313
Sn,74,50,124,8.4673997
Sn,75,50,125,8.4455285
Sn,76,50,126,8.4435227
Sn,77,50,127,8.4205482
Sn,78,50,128,8.4169749
Sn,79,50,129,8.3928161
Sn,80,50,130,8.386817
Sn,81,50,131,8.3625183
Sn,82,50,132,8.3548726
Sn,83,50,133,8.310089
Sn,84,50,134,8.2751719
Sn,85,50,135,8.2306877
Sb,54,51,105,8.3009923
Sb,55,51,106,8.3220124
Sb,56,51,107,8.3587344
Sb,57,51,108,8.3726666
Sb,58,51,109,8.4048161
Sb,59,51,110,8.4126821
Sb,60,51,111,8.4401203
Sb,61,51,112,8.443633
Sb,62,51,113,8.4652762
Sb,63,51,114,8.4625191
Sb,64,51,115,8.4809156
Sb,65,51,116,8.4758208
Sb,66,51,117,8.4878981
Sb,67,51,118,8.4789156
Sb,68,51,119,8.4879218
Sb,69,51,120,8.47563
Sb,70,51,121,8.4820574
Sb,71,51,122,8.4683222
Sb,72,51,123,8.4723196
Sb,73,51,124,8.4561517
Sb,74,51,125,8.4581612
Sb,75,51,126,8.4403136
Sb,76,51,127,8.439811
Sb,77,51,128,8.4207724
Sb,78,51,129,8.4180598
Sb,79,51,130,8.3973641
Sb,80,51,131,8.3925525
Sb,81,51,132,8.3723452
Sb,82,51,133,8.3647302
Sb,83,51,134,8.3259398
Sb,84,51,135,8.2919894
Sb,85,51,136,8.2522533
Sb,86,51,137,8.2184764
Te,52,52,104,8.1573256
Te,53,52,105,8.1868368
Te,54,52,106,8.2367682
Te,56,52,108,8.3037221
Te,57,52,109,8.3193305
Te,58,52,110,8.358116
Te,59,52,111,8.3677635
Te,60,52,112,8.4006527
Te,61,52,113,8.4046366
Te,62,52,114,8.4327885
Te,63,52,115,8.4311504
Te,64,52,116,8.4556435
Te,65,52,117,8.4509203
Te,66,52,118,8.469697
Te,67,52,119,8.4620785
Te,68,52,120,8.4769857
Te,69,52,121,8.4668641
Te,70,52,122,8.4781315
Te,71,52,123,8.465537
Te,72,52,124,8.4732705
Te,73,52,125,8.4580361
Te,74,52,126,8.4632397
Te,75,52,127,8.446109
Te,76,52,128,8.4487536
Te,77,52,129,8.4304098
Te,78,52,130,8.4303251
Te,79,52,131,8.4112339
Te,80,52,132,8.4084859
Te,81,52,133,8.3890255
Te,82,52,134,8.3836442
Te,83,52,135,8.3457384
Te,84,52,136,8.3194301
Te,85,52,137,8.2802357
Te,86,52,138,8.2525786
Te,87,52,139,8.2117716
Te,88,52,140,8.1833567
I,56,53,109,8.2200164
I,57,53,110,8.2440767
I,58,53,111,8.2829343
I,59,53,112,8.2998801
I,60,53,113,8.3337528
I,61,53,114,8.344779
I,62,53,115,8.3745651
I,63,53,116,8.3812858
I,64,53,117,8.4044307
I,65,53,118,8.4061203
I,66,53,119,8.4268924
I,67,53,120,8.4236745
I,68,53,121,8.4414111
I,69,53,122,8.4370139
I,70,53,123,8.4491896
I,71,53,124,8.4414807
I,72,53,125,8.4502911
I,73,53,126,8.4399379
I,74,53,127,8.445482
I,75,53,128,8.4328309
I,76,53,129,8.4359908
I,77,53,130,8.4211011
I,78,53,131,8.4222977
I,79,53,132,8.4064628
I,80,53,133,8.4050993
I,81,53,134,8.3890722
I,82,53,135,8.3847609
I,83,53,136,8.3513242
I,84,53,137,8.3260033
I,85,53,138,8.292445
I,86,53,139,8.26561
I,87,53,140,8.229474
I,88,53,141,8.2022562
I,89,53,142,8.1652517
Xe,54,54,108,8.0748886
Xe,55,54,109,8.1073071
Xe,56,54,110,8.1592808
Xe,58,54,112,8.2300646
Xe,59,54,113,8.2479277
Xe,60,54,114,8.2892054
Xe,61,54,115,8.3009704
Xe,62,54,116,8.3368365
Xe,63,54,117,8.3442976
Xe,64,54,118,8.3749819
Xe,65,54,119,8.378442
Xe,66,54,120,8.4040322
Xe,67,54,121,8.4038326
Xe,68,54,122,8.4246644
Xe,69,54,123,8.4209239
Xe,70,54,124,8.4376138
Xe,71,54,125,8.430939
Xe,72,54,126,8.4435375
Xe,73,54,127,8.4341066
Xe,74,54,128,8.4433008
Xe,75,54,129,8.4313904
Xe,76,54,130,8.4377314
Xe,77,54,131,8.4237367
Xe,78,54,132,8.4276229
Xe,79,54,133,8.4126477
Xe,80,54,134,8.4136994
Xe,81,54,135,8.3984783
Xe,82,54,136,8.3961889
Xe,83,54,137,8.3642865
Xe,84,54,138,8.3446913
Xe,85,54,139,8.3115904
Xe,86,54,140,8.2908875
Xe,87,54,141,8.2553647
Xe,88,54,142,8.2331695
Xe,89,54,143,8.1968855
Xe,90,54,144,8.1728845
Xe,91,54,145,8.1350877
Xe,92,54,146,8.1104154
Cs,58,55,113,8.148623
Cs,59,55,114,8.1735711
Cs,62,55,117,8.2718652
Cs,63,55,118,8.2864053
Cs,64,55,119,8.3173347
Cs,65,55,120,8.3284811
Cs,66,55,121,8.3529152
Cs,67,55,122,8.3591515
Cs,68,55,123,8.3803796
Cs,69,55,124,8.3835114
Cs,70,55,125,8.3998033
Cs,71,55,126,8.3992673
Cs,72,55,127,8.4115617
Cs,73,55,128,8.4064953
Cs,74,55,129,8.4160465
Cs,75,55,130,8.4087848
Cs,76,55,131,8.4150317
Cs,77,55,132,8.4055878
Cs,78,55,133,8.4099786
Cs,79,55,134,8.398647
Cs,80,55,135,8.4013393
Cs,81,55,136,8.3897723
Cs,82,55,137,8.3889581
Cs,83,55,138,8.3601437
Cs,84,55,139,8.3423397
Cs,85,55,140,8.3143227
Cs,86,55,141,8.2943554
Cs,87,55,142,8.2648777
Cs,88,55,143,8.2436707
Cs,89,55,144,8.2118894
Cs,90,55,145,8.1887342
Cs,91,55,146,8.1554365
Cs,92,55,147,8.131801
Cs,93,55,148,8.0975469
Ba,58,56,114,8.0896865
Ba,61,56,117,8.1879546
Ba,63,56,119,8.2459287
Ba,64,56,120,8.2802949
Ba,65,56,121,8.2939083
Ba,66,56,122,8.3237567
Ba,67,56,123,8.3302086
Ba,68,56,124,8.3558209
Ba,69,56,125,8.3581784
Ba,70,56,126,8.3797187
Ba,71,56,127,8.378456
Ba,72,56,128,8.3959878
Ba,73,56,129,8.3910811
Ba,74,56,130,8.405513
Ba,75,56,131,8.3985511
Ba,76,56,132,8.4093747
Ba,77,56,133,8.4002059
Ba,78,56,134,8.4081731
Ba,79,56,135,8.3975345
Ba,80,56,136,8.4027566
Ba,81,56,137,8.3918288
Ba,82,56,138,8.3934222
Ba,83,56,139,8.3670194
Ba,84,56,140,8.35315
Ba,85,56,141,8.3260774
Ba,86,56,142,8.3109718
Ba,87,56,143,8.2819878
Ba,88,56,144,8.2654549
Ba,89,56,145,8.2347991
Ba,90,56,146,8.2155293
Ba,91,56,147,8.1832405
Ba,92,56,148,8.1641118
Ba,93,56,149,8.1318495
Ba,94,56,150,8.1118405
La,67,57,124,8.2782926
La,68,57,125,8.3046438
La,69,57,126,8.3124268
La,70,57,127,8.3335412
La,71,57,128,8.3371904
La,72,57,129,8.3560449
La,73,57,130,8.3561919
La,74,57,131,8.3703676
La,75,57,132,8.3677559
La,76,57,133,8.3788415
La,77,57,134,8.3744888
La,78,57,135,8.3827972
La,79,57,136,8.3760512
La,80,57,137,8.3818807
La,81,57,138,8.3750835
La,82,57,139,8.3779987
La,83,57,140,8.3550201
La,84,57,141,8.343205
La,85,57,142,8.3208263
La,86,57,143,8.3061271
La,87,57,144,8.2814283
La,88,57,145,8.2660873
La,89,57,146,8.2399988
La,90,57,147,8.2215536
La,91,57,148,8.1937165
La,92,57,149,8.1761915
La,93,57,150,8.1494339
La,94,57,151,8.1290436
Ce,68,58,126,8.2732581
Ce,69,58,127,8.2807922
Ce,70,58,128,8.3069259
Ce,71,58,129,8.3109411
Ce,72,58,130,8.3332164
Ce,73,58,131,8.3333969
Ce,74,58,132,8.3523223
Ce,75,58,133,8.3498301
Ce,76,58,134,8.3657716
Ce,77,58,135,8.3619861
Ce,78,58,136,8.3737624
Ce,79,58,137,8.3672497
Ce,80,58,138,8.3770408
Ce,81,58,139,8.3704664
Ce,82,58,140,8.3763045
Ce,83,58,141,8.3553956
Ce,84,58,142,8.34707
Ce,85,58,143,8.3246765
Ce,86,58,144,8.3147612
Ce,87,58,145,8.2898762
Ce,88,58,146,8.2785081
Ce,89,58,147,8.2525274
Ce,90,58,148,8.2403876
Ce,91,58,149,8.2142294
Ce,92,58,150,8.201123
Ce,93,58,151,8.1762779
Pr,69,59,128,8.2289141
Pr,70,59,129,8.2543808
Pr,71,59,130,8.2637565
Pr,72,59,131,8.2861439
Pr,73,59,132,8.2915377
Pr,74,59,133,8.3102588
Pr,75,59,134,8.3128817
Pr,76,59,135,8.3289284
Pr,77,59,136,8.3300089
Pr,78,59,137,8.3417074
Pr,79,59,138,8.3392195
Pr,80,59,139,8.3495208
Pr,81,59,140,8.3465163
Pr,82,59,141,8.3539852
Pr,83,59,142,8.3363032
Pr,84,59,143,8.329428
Pr,85,59,144,8.3115411
Pr,86,59,145,8.3021285
Pr,87,59,146,8.280325
Pr,88,59,147,8.27054
Pr,89,59,148,8.2495409
Pr,90,59,149,8.238304
Pr,91,59,150,8.2189316
Pr,92,59,151,8.2078824
Pr,93,59,152,8.1871049
Pr,94,59,153,8.1720371
Pr,95,59,154,8.1472994
Pr,96,59,155,8.1310398
Pr,97,59,156,8.1052337
Pr,98,59,157,8.085817
Nd,70,60,130,8.2225136
Nd,71,60,131,8.2303045
Nd,72,60,132,8.2568104
Nd,73,60,133,8.262232
Nd,74,60,134,8.2855391
Nd,75,60,135,8.2881536
Nd,76,60,136,8.3085127
Nd,77,60,137,8.3095892
Nd,78,60,138,8.3254946
Nd,79,60,139,8.3236642
Nd,80,60,140,8.337864
Nd,81,60,141,8.3355074
Nd,82,60,142,8.346031
Nd,83,60,143,8.3304893
Nd,84,60,144,8.3269237
Nd,85,60,145,8.3091883
Nd,86,60,146,8.3040927
Nd,87,60,147,8.2836036
Nd,88,60,148,8.2771778
Nd,89,60,149,8.2554437
Nd,90,60,150,8.2495789
Nd,91,60,151,8.2302741
Nd,92,60,152,8.2240078
Nd,93,60,153,8.2045832
Nd,94,60,154,8.1923491
Nd,95,60,155,8.170305
Nd,96,60,156,8.1563265
Nd,97,60,157,8.1321671
Nd,98,60,158,8.1149529
Nd,99,60,159,8.0888224
Nd,100,60,160,8.0699662
Pm,72,61,133,8.2042841
Pm,73,61,134,8.2134131
Pm,74,61,135,8.2367933
Pm,75,61,136,8.2437207
Pm,76,61,137,8.2636516
Pm,77,61,138,8.2683558
Pm,78,61,139,8.2855473
Pm,79,61,140,8.2890958
Pm,80,61,141,8.3039405
Pm,81,61,142,8.3066587
Pm,82,61,143,8.3177341
Pm,83,61,144,8.3052969
Pm,84,61,145,8.3026583
Pm,85,61,146,8.288655
Pm,86,61,147,8.2843712
Pm,87,61,148,8.2682283
Pm,88,61,149,8.2615277
Pm,89,61,150,8.2438125
Pm,90,61,151,8.2412723
Pm,91,61,152,8.2261293
Pm,92,61,153,8.2211536
Pm,93,61,154,8.204717
Pm,94,61,155,8.1952977
Pm,95,61,156,8.1767263
Pm,96,61,157,8.1641458
Pm,97,61,158,8.1433622
Pm,98,61,159,8.1268601
Pm,99,61,160,8.1036398
Pm,100,61,161,8.0859977
Sm,73,62,135,8.177627
Sm,74,62,136,8.2059165
Sm,75,62,137,8.2135527
Sm,76,62,138,8.2379286
Sm,77,62,139,8.2430786
Sm,78,62,140,8.2638211
Sm,79,62,141,8.265846
Sm,80,62,142,8.2859407
Sm,81,62,143,8.2881825
Sm,82,62,144,8.30368
Sm,83,62,145,8.2930139
Sm,84,62,146,8.2938581
Sm,85,62,147,8.2805734
Sm,86,62,148,8.2796326
Sm,87,62,149,8.2634683
Sm,88,62,150,8.2616235
Sm,89,62,151,8.2439735
Sm,90,62,152,8.2440645
Sm,91,62,153,8.2285373
Sm,92,62,154,8.2268379
Sm,93,62,155,8.2112258
Sm,94,62,156,8.2050054
Sm,95,62,157,8.1870642
Sm,96,62,158,8.1773075
Sm,97,62,159,8.1574963
Sm,98,62,160,8.1446159
Sm,99,62,161,8.1220418
Sm,100,62,162,8.1075745
Sm,101,62,163,8.0841653
Sm,102,62,164,8.0677803
Eu,74,63,137,8.1505738
Eu,75,63,138,8.1616211
Eu,76,63,139,8.1872187
Eu,77,63,140,8.197733
Eu,78,63,141,8.2176853
Eu,79,63,142,8.226396
Eu,80,63,143,8.2458177
Eu,81,63,144,8.2541744
Eu,82,63,145,8.2692744
Eu,83,63,146,8.2619327
Eu,84,63,147,8.2635409
Eu,85,63,148,8.2538155
Eu,86,63,149,8.253556
Eu,87,63,150,8.2413481
Eu,88,63,151,8.2392998
Eu,89,63,152,8.2265854
Eu,90,63,153,8.2287011
Eu,91,63,154,8.2171006
Eu,92,63,155,8.216676
Eu,93,63,156,8.2046192
Eu,94,63,157,8.1997975
Eu,95,63,158,8.185132
Eu,96,63,159,8.1766987
Eu,97,63,160,8.160103
Eu,98,63,161,8.148981
Eu,99,63,162,8.1295593
Eu,100,63,163,8.1160172
Eu,101,63,164,8.0953686
Eu,102,63,165,8.0800529
Gd,76,64,140,8.1549757
Gd,77,64,141,8.164609
Gd,78,64,142,8.1902569
Gd,79,64,143,8.1983188
Gd,80,64,144,8.2219382
Gd,81,64,145,8.2289485
Gd,82,64,146,8.2495072
Gd,83,64,147,8.2433366
Gd,84,64,148,8.2483398
Gd,85,64,149,8.2394856
Gd,86,64,150,8.2426103
Gd,87,64,151,8.2310446
Gd,88,64,152,8.2334042
Gd,89,64,153,8.2204209
Gd,90,64,154,8.2247996
Gd,91,64,155,8.2132541
Gd,92,64,156,8.2153253
Gd,93,64,157,8.2035072
Gd,94,64,158,8.2018229
Gd,95,64,159,8.1876177
Gd,96,64,160,8.1830171
Gd,97,64,161,8.1671934
Gd,98,64,162,8.1590373
Gd,99,64,163,8.140756
Gd,100,64,164,8.1299978
Gd,101,64,165,8.1104428
Gd,102,64,166,8.097226
Gd,103,64,167,8.0755428
Tb,75,65,140,8.0686732
Tb,76,65,141,8.0974761
Tb,77,65,142,8.111508
Tb,78,65,143,8.1382176
Tb,79,65,144,8.1512877
Tb,80,65,145,8.1785397
Tb,81,65,146,8.1871474
Tb,82,65,147,8.206625
Tb,83,65,148,8.2043207
Tb,84,65,149,8.2098153
Tb,85,65,150,8.2063396
Tb,86,65,151,8.2088743
Tb,87,65,152,8.2020072
Tb,88,65,153,8.2050504
Tb,89,65,154,8.1966697
Tb,90,65,155,8.2029173
Tb,91,65,156,8.1946415
Tb,92,65,157,8.1981416
Tb,93,65,158,8.1891556
Tb,94,65,159,8.1888025
Tb,95,65,160,8.1774676
Tb,96,65,161,8.1744809
Tb,97,65,162,8.1640773
Tb,98,65,163,8.1556322
Tb,99,65,164,8.1399304
Tb,100,65,165,8.1303259
Tb,101,65,166,8.113223
Tb,102,65,167,8.101441
Tb,103,65,168,8.082798
Dy,77,66,143,8.0750527
Dy,78,66,144,8.1055902
Dy,79,66,145,8.1168884
Dy,80,66,146,8.1461128
Dy,81,66,147,8.156768
Dy,82,66,148,8.180943
Dy,83,66,149,8.1790972
Dy,84,66,150,8.1891495
Dy,85,66,151,8.1846789
Dy,86,66,152,8.1929171
Dy,87,66,153,8.1857514
Dy,88,66,154,8.1931305
Dy,89,66,155,8.184357
Dy,90,66,156,8.1924366
Dy,91,66,157,8.1846287
Dy,92,66,158,8.1901298
Dy,93,66,159,8.1815842
Dy,94,66,160,8.1840526
Dy,95,66,161,8.1733093
Dy,96,66,162,8.1734555
Dy,97,66,163,8.161784
Dy,98,66,164,8.1587129
Dy,99,66,165,8.1439083
Dy,100,66,166,8.1372793
Dy,101,66,167,8.1208782
Dy,102,66,168,8.1125293
Dy,103,66,169,8.0947566
Ho,77,67,144,8.0170977
Ho,78,67,145,8.0485792
Ho,79,67,146,8.0632426
Ho,80,67,147,8.0940381
Ho,81,67,148,8.1089797
Ho,82,67,149,8.133255
Ho,83,67,150,8.1348423
Ho,84,67,151,8.1455267
Ho,85,67,152,8.1449193
Ho,86,67,153,8.1536372
Ho,87,67,154,8.1506825
Ho,88,67,155,8.1592055
Ho,89,67,156,8.155428
Ho,90,67,157,8.1631373
Ho,91,67,158,8.1584709
Ho,92,67,159,8.1651066
Ho,93,67,160,8.1586004
Ho,94,67,161,8.1631134
Ho,95,67,162,8.1554126
Ho,96,67,163,8.156967
Ho,97,67,164,8.1479234
Ho,98,67,165,8.1469591
Ho,99,67,166,8.1354933
Ho,100,67,167,8.1303732
Ho,101,67,168,8.1168061
Ho,102,67,169,8.1090622
Ho,103,67,170,8.0937902
Ho,104,67,171,8.0836021
Er,78,68,146,8.0105127
Er,79,68,147,8.026476
Er,80,68,148,8.0596924
Er,81,68,149,8.0749558
Er,82,68,150,8.1021962
Er,83,68,151,8.1048723
Er,84,68,152,8.1193485
Er,85,68,153,8.1188154
Er,86,68,154,8.1323919
Er,87,68,155,8.1294444
Er,88,68,156,8.1419084
Er,89,68,157,8.1363757
Er,90,68,158,8.147927
Er,91,68,159,8.1427742
Er,92,68,160,8.1517217
Er,93,68,161,8.1458628
Er,94,68,162,8.1523959
Er,95,68,163,8.1447403
Er,96,68,164,8.1490191
Er,97,68,165,8.1399348
Er,98,68,166,8.1419479
Er,99,68,167,8.1317352
Er,100,68,168,8.1295897
Er,101,68,169,8.1170078
Er,102,68,170,8.1119529
Er,103,68,171,8.0977404
Er,104,68,172,8.0904052
Tm,78,69,147,7.9488178
Tm,79,69,148,7.9685011
Tm,82,69,151,8.0500576
Tm,83,69,152,8.0564387
Tm,84,69,153,8.0712571
Tm,85,69,154,8.074209
Tm,86,69,155,8.088376
Tm,87,69,156,8.0896032
Tm,88,69,157,8.1014285
Tm,89,69,158,8.1011994
Tm,90,69,159,8.1127549
Tm,91,69,160,8.1108124
Tm,92,69,161,8.1204906
Tm,93,69,162,8.1175868
Tm,94,69,163,8.1249774
Tm,95,69,164,8.1196534
Tm,96,69,165,8.1255489
Tm,97,69,166,8.1189357
Tm,98,69,167,8.1225826
Tm,99,69,168,8.1149516
Tm,100,69,169,8.1144702
Tm,101,69,170,8.1055144
Tm,102,69,171,8.1018931
Tm,103,69,172,8.0910367
Tm,104,69,173,8.0844633
Tm,105,69,174,8.0706432
Tm,106,69,175,8.0617673
Tm,107,69,176,8.0451214
Yb,81,70,151,7.9837556
Yb,82,70,152,8.0154371
Yb,84,70,154,8.0399402
Yb,85,70,155,8.0438234
Yb,86,70,156,8.0617107
Yb,87,70,157,8.0627551
Yb,88,70,158,8.0791999
Yb,89,70,159,8.0780428
Yb,90,70,160,8.0925614
Yb,91,70,161,8.0903861
Yb,92,70,162,8.1025333
Yb,93,70,163,8.0991069
Yb,94,70,164,8.1094149
Yb,95,70,165,8.1048399
Yb,96,70,166,8.1124591
Yb,97,70,167,8.106202
Yb,98,70,168,8.111887
Yb,99,70,169,8.1045206
Yb,100,70,170,8.1066101
Yb,101,70,171,8.0978826
Yb,102,70,172,8.0974295
Yb,103,70,173,8.0874276
Yb,104,70,174,8.0838481
Yb,105,70,175,8.0709253
Yb,106,70,176,8.0640853
Yb,107,70,177,8.0499741
Yb,108,70,178,8.0427386
Lu,82,71,153,7.9590882
Lu,84,71,155,7.9874369
Lu,85,71,156,7.9953752
Lu,86,71,157,8.0133128
Lu,87,71,158,8.0185685
Lu,88,71,159,8.0346009
Lu,89,71,160,8.0383387
Lu,90,71,161,8.0527821
Lu,91,71,162,8.0545596
Lu,92,71,163,8.0666848
Lu,93,71,164,8.0658043
Lu,94,71,165,8.076746
Lu,95,71,166,8.0741756
Lu,96,71,167,8.0831722
Lu,97,71,168,8.0804026
Lu,98,71,169,8.0863233
Lu,99,71,170,8.0816686
Lu,100,71,171,8.0846621
Lu,101,71,172,8.0782334
Lu,102,71,173,8.0790312
Lu,103,71,174,8.071454
Lu,104,71,175,8.0691412
Lu,105,71,176,8.0590209
Lu,106,71,177,8.0534495
Lu,107,71,178,8.0420554
Lu,108,71,179,8.0350744
Lu,109,71,180,8.0220394
Lu,110,71,181,8.0119301
Lu,112,71,183,7.9848125
Hf,84,72,156,7.9526676
Hf,86,72,158,7.9812764
Hf,87,72,159,7.986561
Hf,88,72,160,8.0063791
Hf,89,72,161,8.0091245
Hf,90,72,162,8.0271171
Hf,91,72,163,8.0280072
Hf,92,72,164,8.0438142
Hf,93,72,165,8.0428728
Hf,94,72,166,8.0564386
Hf,95,72,167,8.054185
Hf,96,72,168,8.0655536
Hf,97,72,169,8.0617791
Hf,98,72,170,8.0708762
Hf,99,72,171,8.0660687
Hf,100,72,172,8.0717439
Hf,101,72,173,8.0660164
Hf,102,72,174,8.0685341
Hf,103,72,175,8.0607625
Hf,104,72,176,8.0613604
Hf,105,72,177,8.0518365
Hf,106,72,178,8.0494438
Hf,107,72,179,8.0385474
Hf,108,72,180,8.0349319
Hf,109,72,181,8.022003
Hf,110,72,182,8.0148381
Hf,111,72,183,8.0000315
Hf,112,72,184,7.9907228
Hf,113,72,185,7.9739711
Hf,114,72,186,7.9643032
Ta,84,73,157,7.8960608
Ta,86,73,159,7.9287258
Ta,87,73,160,7.9382704
Ta,88,73,161,7.95745
Ta,89,73,162,7.9643432
Ta,90,73,163,7.9818905
Ta,91,73,164,7.9869978
Ta,92,73,165,8.0030547
Ta,93,73,166,8.0049714
Ta,94,73,167,8.0188614
Ta,95,73,168,8.0194287
Ta,96,73,169,8.0309577
Ta,97,73,170,8.0302965
Ta,98,73,171,8.0397914
Ta,99,73,172,8.0377056
Ta,100,73,173,8.044065
Ta,101,73,174,8.0404528
Ta,102,73,175,8.0444456
Ta,103,73,176,8.0386706
Ta,104,73,177,8.0408289
Ta,106,73,179,8.0335869
Ta,107,73,180,8.0258864
Ta,108,73,181,8.023405
Ta,109,73,182,8.0126332
Ta,110,73,183,8.00674
Ta,111,73,184,7.9937535
Ta,112,73,185,7.9863615
Ta,113,73,186,7.9718357
Ta,114,73,187,7.9632123
W,86,74,160,7.8927893
W,88,74,162,7.9238214
W,89,74,163,7.9303043
W,90,74,164,7.9514515
W,91,74,165,7.9559704
W,92,74,166,7.9748951
W,93,74,167,7.9767045
W,94,74,168,7.9939327
W,95,74,169,7.9945381
W,96,74,170,8.0089482
W,97,74,171,8.0081158
W,98,74,172,8.0201757
W,99,74,173,8.0183337
W,100,74,174,8.0272572
W,101,74,175,8.024113
W,102,74,176,8.0301131
W,103,74,177,8.0250359
W,104,74,178,8.0292584
W,105,74,179,8.0232821
W,106,74,180,8.0254434
W,107,74,181,8.0179494
W,108,74,182,8.0183096
W,109,74,183,8.0083234
W,110,74,184,8.0050777
W,111,74,185,7.9929083
W,112,74,186,7.9886026
W,113,74,187,7.9751168
W,114,74,188,7.9690532
